,HomeTeam,AwayTeam,MW,HP,AP,Pdiff,HPOS,APOS,POSdiff,HW,AW,HD,AD,HL,AL,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTSF,ATSF,HTSTF,ATSTF,HTSC,ATSC,HTSTC,ATSTC,HPR,APR,HF5,AF5,HTHGS,ATAGS,HTHGC,ATAGC,HTHSF,ATASF,HTHSC,ATASC,HTHSTF,ATASTF,HTHSTC,ATASTC,HTHP,ATAP,HTHW,ATAW,HTHD,ATAD,HTHL,ATAL,avg_HGPG,avg_AGPG
81,Bournemouth,Wolves,9,0.375,1.0,-5,19,14,5,0.0,0.25,0.375,0.25,0.625,0.5,0.625,1.125,2.25,1.75,-1.625,-0.625,11.75,10.875,3.875,3.25,18.375,17.375,6.5,6.375,0,3,2,7,0.25,1.0,1.75,1.25,11.5,12.25,15.5,16.5,3.25,3.75,5.75,6.25,0.5,1.0,0.0,0.25,0.5,0.25,0.5,0.5,1.555555556,1.432098765
82,Brentford,Burnley,9,0.875,0.5,3,15,18,-3,0.125,0.125,0.5,0.125,0.375,0.75,1.375,0.875,1.5,2.5,-0.125,-1.625,14.125,10.625,4.25,2.875,13.625,15.625,4.375,6.0,1,0,3,1,1.5,0.75,2.0,1.0,14.0,8.0,15.75,13.0,4.0,2.25,5.5,3.75,0.75,1.0,0.0,0.25,0.75,0.25,0.25,0.25,1.548780488,1.43902439
83,Man City,Brighton,9,2.25,2.0,2,3,6,-3,0.75,0.625,0.0,0.125,0.25,0.25,2.125,2.625,0.75,2.0,1.375,0.625,16.375,16.375,6.75,6.75,7.0,13.125,2.125,4.25,0,0,12,9,2.0,2.0,0.25,2.0,7.0,9.25,5.75,12.25,3.25,4.75,2.0,4.5,2.25,1.5,0.75,0.5,0.0,0.0,0.0,0.25,1.56626506,1.421686747
84,Newcastle,Crystal Palace,9,1.625,1.5,1,8,9,-1,0.5,0.375,0.125,0.375,0.375,0.25,2.5,0.875,1.125,0.875,1.375,0.0,14.625,12.25,6.5,4.5,10.875,13.375,3.5,3.5,3,3,9,8,2.25,1.0,0.75,1.0,17.25,13.25,11.0,13.75,7.75,4.5,3.5,2.75,2.25,1.75,0.75,0.5,0.0,0.25,0.25,0.25,1.571428571,1.416666667
85,Nott'm Forest,Luton,9,1.125,0.5,5,13,17,-4,0.25,0.125,0.375,0.125,0.375,0.75,1.0,0.75,1.25,1.875,-0.25,-1.125,10.5,12.75,3.25,2.25,13.0,15.375,4.375,5.125,1,3,5,4,1.0,0.75,0.75,2.25,9.0,9.0,8.75,20.5,2.25,2.0,2.75,6.75,1.25,0.75,0.25,0.25,0.5,0.0,0.0,0.75,1.6,1.4
86,Chelsea,Arsenal,9,1.375,2.5,-9,11,2,9,0.375,0.75,0.25,0.25,0.375,0.0,1.375,2.0,0.875,0.75,0.5,1.25,13.875,14.75,4.625,5.75,11.375,8.875,3.5,2.125,3,3,7,11,1.0,1.5,0.75,0.0,15.0,10.5,11.5,7.5,4.5,3.75,3.0,1.0,1.0,2.25,0.25,0.75,0.25,0.0,0.5,0.0,1.604651163,1.406976744
87,Sheffield United,Man United,9,0.125,1.5,-11,20,10,10,0.0,0.5,0.125,0.0,0.875,0.5,0.75,1.125,2.75,1.5,-2.0,-0.375,8.875,16.25,3.0,5.0,22.0,13.375,8.375,4.75,0,0,1,6,0.75,0.5,3.25,1.25,9.0,10.75,23.0,11.5,3.0,3.0,9.5,3.75,0.25,0.75,0.0,0.25,0.25,0.0,0.75,0.5,1.609195402,1.413793103
88,Aston Villa,West Ham,9,2.0,1.75,2,5,7,-2,0.625,0.5,0.125,0.25,0.25,0.25,2.375,1.875,1.5,1.5,0.875,0.375,15.25,11.375,5.875,4.25,10.875,18.625,4.25,5.875,3,3,12,9,3.25,1.75,0.5,1.5,12.0,12.0,6.5,19.25,5.25,3.25,2.0,5.75,2.25,1.75,0.75,0.5,0.0,0.25,0.0,0.25,1.602272727,1.420454545
89,Tottenham,Fulham,9,2.5,1.375,9,1,12,-11,0.75,0.375,0.25,0.25,0.0,0.375,2.25,1.0,1.0,1.625,1.25,-0.625,19.0,10.75,6.875,3.375,13.0,11.5,4.5,5.5,3,0,13,5,1.5,1.0,0.5,1.75,17.25,8.25,10.25,13.0,6.0,3.5,3.75,7.0,2.25,1.25,0.75,0.25,0.0,0.5,0.0,0.25,1.629213483,1.415730337
90,Crystal Palace,Tottenham,10,1.3333333333333333,2.5555555555555554,-11,11,1,10,0.3333333333333333,0.7777777777777778,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.0,0.7777777777777778,2.2222222222222223,1.2222222222222223,0.8888888888888888,-0.4444444444444444,1.3333333333333333,12.777777777777779,18.555555555555557,4.333333333333333,6.666666666666667,13.0,12.666666666666666,3.888888888888889,4.333333333333333,1,3,8,13,0.6666666666666666,2.6666666666666665,0.6666666666666666,1.3333333333333333,10.0,18.444444444444443,11.555555555555555,14.0,4.0,6.888888888888889,3.7777777777777777,4.666666666666667,1.1111111111111112,2.4444444444444446,0.2222222222222222,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.0,1.633333333,1.4
91,Chelsea,Brentford,10,1.3333333333333333,1.1111111111111112,2,10,14,-4,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.3333333333333333,1.4444444444444444,1.5555555555555556,1.0,1.3333333333333333,0.4444444444444444,0.2222222222222222,13.555555555555555,15.11111111111111,4.666666666666667,4.888888888888889,11.555555555555555,12.777777777777779,3.4444444444444446,4.0,3,0,7,2,1.3333333333333333,1.1111111111111112,1.1111111111111112,0.8888888888888888,15.777777777777779,12.666666666666666,13.11111111111111,10.222222222222221,5.111111111111111,4.0,3.3333333333333335,2.888888888888889,1.1111111111111112,0.8888888888888888,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.4444444444444444,1.626373626,1.406593407
92,Arsenal,Sheffield United,10,2.3333333333333335,0.1111111111111111,20,3,20,-17,0.6666666666666666,0.0,0.3333333333333333,0.1111111111111111,0.0,0.8888888888888888,2.0,0.7777777777777778,0.8888888888888888,2.6666666666666665,1.1111111111111112,-1.8888888888888888,14.555555555555555,9.222222222222221,5.444444444444445,3.3333333333333335,9.11111111111111,21.11111111111111,2.4444444444444446,8.0,3,0,13,1,2.2222222222222223,0.6666666666666666,1.3333333333333333,2.0,16.88888888888889,7.777777777777778,9.11111111111111,18.666666666666668,6.888888888888889,2.6666666666666665,2.888888888888889,6.444444444444445,2.4444444444444446,0.0,0.6666666666666666,0.0,0.4444444444444444,0.0,0.0,0.8888888888888888,1.608695652,1.413043478
